Name,Firm,Score,Tier,Type,Fund Size,Investments,Exits,Sectors,Geography
"Company Ventures","Company Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Cloud Computing; SaaS","New York, NY"
"Yotis Tonnelier","YOBE Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Tod Sacerdoti","Turbo Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
"Joyance Partners","Joyance Partners",6.8,strong,VC Firm,,50,0,"AI/ML; Healthtech; Wellness","New York, NY"
"Jon Soberg","MS&AD Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
"Fady Yacoub","HOF Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Neil Devani","Necessary Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Soraya Darabi","TMV (Trail Mix Ventures)",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Deborah Chu","NextGen Venture Partners",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Max Ventures","Max Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Consumer; SaaS","New York, NY"
"Duygu Clark","DO Venture Partners",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Wen-Wen Lam","Gradient Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Rachel Star","Unusual Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Thomas Chen","MAGIC Fund",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Vibhor Chhabra","Shunya Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Corigin Ventures","Corigin Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"a16z Speedrun","Andreessen Horowitz",6.8,strong,VC,180000000,150,0,"Gaming; AI; Interactive Tech","Global"
"Jake Kaldenbaugh","Accenture Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"AI Infrastructure Partners","AI Infrastructure Partners",6.8,strong,VC Firm,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"Eddie Lee","White Star Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Dillon Ferdinandi","Slack Fund",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"BBG Ventures","BBG Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Healthtech; SaaS","New York, NY"
"we help (Uncorkcapital)","we help (Uncorkcapital)",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Venky Karnam","Afore Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Mark Tomasovic","Energize Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"launch different fund","launch different fund",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Nik Sharma","Sharma Brands / Masala Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Jai Malik","Countdown Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"Nakul Mandan","Audacious Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Jonathan Ehrlich","Foundation Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
"Matt Heiman","Vetamer Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"Founders Circle Capital","Founders Circle Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Raymond Tonsing","Caffeinated Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Alpine Meridian Ventures","Alpine Meridian Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"Blue 9 Capital","Blue 9 Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"Robert Wesley","Cameron Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Will McClelland","Elizabeth Street Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Mitra Lohrasbpour","South Park Commons Fund",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Jon Dishotsky","Daft Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Kevin Colleran","Slow Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Chris Saum","Active Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Newark Venture Partners","Newark Venture Partners",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","Newark, NJ"
"Patrick Harmon","B Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Rahul Prakash","NOMO Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"Matt Brezina","Ford Street Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"BOLDstart Ventures","BOLDstart Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Cybersecurity; SaaS","New York, NY"
"RiverPark Ventures","RiverPark Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Mubadala Capital","Mubadala Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
"Eniac Ventures","Eniac Ventures",6.8,strong,VC Firm,,50,0,"Generalist","New York, NY"
"Melitas Ventures","Melitas Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"NY Technology Capital Partners","NY Technology Capital Partners",6.8,strong,VC Firm,,50,0,"AI/ML; Cloud Computing; SaaS","New York, NY"
"Lee Jacobs","Long Journey Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","San Francisco, United States"
"Kevin Liu","Techstars",6.8,strong,Accelerator,,50,0,"AI/ML; HealthTech; SaaS","US"
"Stu Smith","Coughdrop Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"IA Ventures","IA Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Data; SaaS","New York, NY"
"Sarah Fu","Elsa Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"ff Venture Capital","ff Venture Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Cindy Bi","CapitalX",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
"Mark Ghermezian","m]x[v Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Mendy Yang","Lerer Hippeau",6.8,strong,VC,,50,0,"AI/ML; API; Consumer","US"
"William Leonard","Valor Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"JP Bray","InnoStart Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Jacob Peters","House Capital",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Artiman Capital India (Pvt) Ltd.","Artiman Capital India (Pvt) Ltd.",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Lerer Hippeau Ventures","Lerer Hippeau Ventures",6.8,strong,VC Firm,,50,0,"Consumer; E-commerce; Media","New York, NY"
"Lex Zhao","One Way Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Todd Goldberg","Todd and Rahul's Angel Fund",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
"Radicle Impact","",6.8,strong,VC,150000000,45,5,"Climate Tech; Energy; Carbon Solutions; Sustainability","US"
"Dmitry Firskin","AltaIR Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Cloud Computing; SaaS","US"
"Bullish Brand Fund","Bullish Brand Fund",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","New York, NY"
"Herston Powers","1982 Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Genacast Ventures","Genacast Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","New York, NY"
"crypto fund","crypto fund",6.8,strong,VC Firm,,50,0,"Blockchain; DeFi; NFTs","US"
"Artiman Ventures","Artiman Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
"Katie Stanton","Moxxie Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Krista A. Worzalla","Swiftarc Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Jason Levine","Newflow Partners",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Ed Sim","Boldstart Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Mohammed Amdani","Adapt Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"Indicator Ventures","Indicator Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","New York, NY"
"Roger Dickey","Untitled Capital",6.8,strong,VC Firm,,50,0,"AI/ML; Fintech; SaaS","US"
"Parasvil Patel","Radical Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; HealthTech; SaaS","US"
"David Evans","Sentiero Ventures",6.8,strong,VC Firm,,50,0,"AI/ML; Healthcare; SaaS","US"
"Nick Rubin (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"MarketingPlatformDaniel Yum (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Bonart Financial Performance","Bonart Financial Performance",6.7,strong,Angel,,150,0,"AI/ML; Fintech; SaaS","US"
"Dave White (Paradigm)","Paradigm",6.7,strong,VC,10000000000,0,0,"Technology","US; Global"
"Frankie (Paradigm)","Paradigm",6.7,strong,VC,10000000000,0,0,"Technology","US; Global"
"Jory BellGeneral (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Laurie YolerVenture (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Jeannie Entin (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Daniel Yum (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Rob Hayes (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Jon CarterVenture (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Vice PresidentOperationsGarrett HaddadOperating (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Kickstart Ventures","Kickstart Ventures",6.7,strong,VC,250000000,40,6,"Fintech; Healthtech; Edtech; Enterprise Software","Philippines; Southeast Asia"
"Nancy Ly (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Pat GelsingerGeneral (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"HuynhExecutive AssistantOperationsSteph HeathPeople (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Splitrock","Splitrock",6.7,strong,Angel,,150,0,"AI/ML; Fintech; SaaS","US"
"Jeff Freburg (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Richard Alfonsi (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Steven Aldrich (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Founders.AI","Founders.AI",6.7,strong,Angel,,150,0,"AI/ML; Fintech; SaaS","US"
"Ramirez de Chanlatte (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Sofiane Larbi (Paradigm)","Paradigm",6.7,strong,VC,10000000000,0,0,"Technology","US; Global"
"Pat Gelsinger (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Nyle Sykes (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"R42 Group","R42 Group",6.7,strong,Angel,,150,0,"AI/ML; Fintech; SaaS","US"
"Acceleprise","Accel",6.7,strong,VC,16000000000,0,0,"Industry/Sector Agnostic","US; Europe"
"Arjun Balaji (Paradigm)","Paradigm",6.7,strong,VC,10000000000,0,0,"Technology","US; Global"
"Bill Trenchard (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Innocells","Innocells",6.7,strong,Angel,,150,0,"AI/ML; Fintech; SaaS","US"
"LeakGeneral PartnerInvestmentBenjamin Kim (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Outliers VC","Outliers VC",6.7,strong,Angel,,150,0,"AI/ML; Fintech; SaaS","US"
"Norwest","",6.7,strong,VC,15500000000,700,0,"Enterprise; Consumer; Healthcare","Global"
"Todd Jackson (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Clinton LazzariOperating (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Hadley WilkinsOperating (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Prudence Holdings","Prudence Holdings",6.7,strong,Angel,,150,0,"AI/ML; Fintech; SaaS","US"
"Sasha OstojicVenture (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"HAX","HAX",6.7,strong,Angel,,50,0,"Hardware; IoT; SaaS","US"
"Hayley Barna (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Amy Fu (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Peter BarrettGeneral (Playground)","Playground Global",6.7,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Chris Fralic (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Dan Robinson (Paradigm)","Paradigm",6.7,strong,VC,10000000000,0,0,"Technology","US; Global"
"NTT Group","NTT Group",6.7,strong,Angel,,50,0,"AI/ML; Cybersecurity; SaaS","US"
"Greylock","Greylock Partners",6.7,strong,VC Firm,5000000000,0,0,"Technology","US"
"Josh Kopelman (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"First Round Capital","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Artificial Intelligence; Consumer; Enterprise Software; Fintech; Hardware; HealthTech","US"
"Underdog Labs","Underdog Labs",6.7,strong,Angel,,150,0,"AI/ML; Fintech; SaaS","US"
"Founders Circle","Founders Circle",6.7,strong,Angel,,150,0,"AI/ML; Fintech; SaaS","US"
"Meka Asonye (First Round)","First Round Capital",6.7,strong,VC Firm,1000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Paradigm","Paradigm",6.6,strong,Angel,10000000000,0,0,"Technology","US; Global"
"Ultra Capital","",6.6,strong,VC,35000000,25,1,"Web3; Infrastructure; Platforms","US"
"COTU Ventures","",6.6,strong,VC,45000000,38,3,"SaaS; Enterprise Software; Cloud","US"
"MountFund","",6.6,strong,VC,50000000,40,2,"Software; SaaS; Marketplaces","US"
"BDev Ventures","",6.6,strong,VC,55000000,35,3,"Software; Tech Platforms","US"
"Move Capital Fund I","",6.6,strong,VC,30000000,20,1,"Mobility; Transportation; EV Tech","US"
"Inner Loop Capital","",6.6,strong,VC,45000000,30,3,"SaaS; AI; Fintech","US"
"Vodafone Ventures","Vodafone Ventures",6.5,strong,VC Firm,,50,0,"AI/ML; SaaS; Telecommunications","US"
"Prime Impact Fund","Prime Impact Fund",6.5,strong,VC Firm,,150,0,"AI/ML; Fintech; SaaS","US"
"TrueSight Ventures","TrueSight Ventures",6.5,strong,VC Firm,,150,0,"AI/ML; Fintech; SaaS","US"
"Wireframe Ventures","Wireframe Ventures",6.5,strong,VC Firm,,150,0,"AI/ML; Fintech; SaaS","US"
"Andrew Ng's AI Fund","",6.5,strong,VC,225000000,15,2,"AI; Machine Learning; Infrastructure","Global"
"Mitsubishi HC Capital Realty Co., Ltd.","Mitsubishi HC Capital Realty Co., Ltd.",6.5,strong,VC Firm,,50,0,"AI/ML; PropTech; Real Estate Tech","US"
"Summit Partners","Summit Partners",6.5,strong,VC Firm,,50,0,"Healthcare; SaaS; Technology","US"
"Plus VC","",6.5,strong,VC,80000000,60,6,"Fintech; SaaS; Marketplaces; Healthtech","MENA"
"Point Nine Capital","Point Nine Capital",6.5,strong,VC Firm,,150,0,"E-commerce; Marketplaces; SaaS","US"
"Leo Polovets","Susa Ventures",6.5,strong,VC Firm,,150,0,"Fintech; Healthcare; SaaS","US"
"Plaza Ventures","Plaza Ventures",6.5,strong,VC Firm,,150,0,"AI/ML; Fintech; SaaS","US"
"Earnest Capital","Earnest Capital",6.5,strong,VC Firm,,100,0,"Consumer Products; Fintech; SaaS","US"
"Legend Capital","Legend Capital",6.5,strong,VC Firm,,150,0,"Biotech; Healthcare","US"
"Rooks Nest Ventures","Rooks Nest Ventures",6.5,strong,VC Firm,,150,0,"AI/ML; Fintech; SaaS","US"
"Rafeh Saleh","Cubit Ventures",6.5,strong,VC Firm,,150,0,"AI/ML; API; SaaS","US"
"Mount Cuba Capital","Mount Cuba Capital",6.5,strong,VC Firm,,150,0,"AI/ML; Fintech; SaaS","US"
"Security Leadership Capital","Security Leadership Capital",6.5,strong,VC Firm,,150,0,"AI/ML; Fintech; SaaS","US"
"Xfund","Xfund",6.5,strong,VC Firm,,150,0,"AI/ML; Fintech; SaaS","US"
"Valia Ventures","Valia Ventures",6.5,strong,VC Firm,,150,0,"AI/ML; Fintech; SaaS","US"
"BlueRun Ventures","BlueRun Ventures",6.5,strong,VC Firm,,50,0,"Enterprise Software; Fintech; Mobile","US"
"SMOK VC","",6.5,strong,VC,30000000,57,0,"Software; Gaming; AI","Central & Eastern Europe"
"Cleo Capital","Cleo Capital",6.5,strong,VC Firm,,100,0,"Consumer Technology; HealthTech; SaaS","US"
"Assistant Guy Wuollet (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Myles Gutenkunst (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Bastian Hasslinger (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Mai Cutler (Initialized)","Initialized Capital",6.4,strong,VC Firm,700000000,0,0,"Consumer; Developer Tools; SaaS","US"
"Thea Crawshaw (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Avron Marcus (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Liz Wessel (First Round)","First Round Capital",6.4,strong,VC Firm,1000000000,0,0,"AI/ML; Consumer; Enterprise; SaaS","US"
"Dr. Rachel Slaybaugh (DCVC)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"Stephane Kurgan (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Dr. Andy May (DCVC)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"Mark Xu (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Julia Andre (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"If our (A16z)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Barath Shankar Subramanian (Accel)","Accel",6.4,strong,VC,16000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Jay Drain Investment (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Vojtech Horna (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Bill Elfers (Greylock)","Greylock Partners",6.4,strong,VC Firm,5000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Mason MurraySenior (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Ping Li (Accel)","Accel",6.4,strong,VC,16000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"André Dubois (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Eryk Dobrushkin (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Serge Messerlian Operating (Dcvc)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"Alok Bathija (Accel)","Accel",6.4,strong,VC,16000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"MDPartner Mark Hawkins (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Pyrs Carvolth (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; SaaS","US; Global"
"Bob Henderson (Greylock)","Greylock Partners",6.4,strong,VC Firm,5000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Legal Compliance Operations (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Danny Rimer (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"PartnerClaudia Fan MunceVenture (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Claudia Fan Munce (NEA)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Bill Hinman (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Tiffany Luck (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"AlleyCorp","Y Combinator",6.4,strong,Accelerator,5000000000,0,0,"Industry/Sector Agnostic","US; Global"
"Benjamin Kim (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Nate ChangOperating (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Mike Volpi (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"James Kaplan (NEA)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Amit Kumar (Accel)","Accel",6.4,strong,VC,16000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"a16z (Andreessen Horowitz)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; SaaS","US; Global"
"Victoria Chernow (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Andrew Braccia (Accel)","Accel",6.4,strong,VC,16000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Jeff Merver (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; SaaS","US"
"Shardul Shah (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Scott Duke Kominers (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; SaaS","US; Global"
"Arianna Simpson (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; SaaS","US; Global"
"Christine Esserman (Accel)","Accel",6.4,strong,VC,16000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"NEA","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Fintech; HealthTech; SaaS; Technology","US; Global"
"Neil Rimer (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"WatsonFinance ManagerOperationsHadley WilkinsOperating (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Hilarie Koplow-McAdams (NEA)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Kevin Deng (Nea)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Rasheed Auguste (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Bill Kaiser (Greylock)","Greylock Partners",6.4,strong,VC Firm,5000000000,0,0,"Consumer; Enterprise; SaaS","US"
"Matt Hershenson (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Ayush Goradia (NEA)","New Enterprise Associates",6.4,strong,VC,25000000000,0,0,"Consumer; Enterprise; Healthcare","US; Global"
"Jim Vieceli (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Patrick McHenry Senior (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; Defense; Robotics; SaaS","US; Global"
"Clay Hutmacher Operating (Dcvc)","DCVC",6.4,strong,VC,3000000000,0,0,"AI/ML; Biotech; Fintech; Robotics; SaaS","US"
"Jacqueline TameOperating (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Peter Barrett (Playground)","Playground Global",6.4,strong,VC,1500000000,0,0,"AI/ML; DeepTech; Materials; Robotics; SaaS","US"
"Emil Schaefer (Index Ventures)","Index Ventures",6.4,strong,VC Firm,13000000000,0,0,"Consumer; Fintech; SaaS","US; Europe"
"Justin Thaler (A16zcrypto)","Andreessen Horowitz",6.4,strong,VC,35000000000,0,0,"AI/ML; Consumer; Crypto/Web3; SaaS","US; Global"
